"intelNAME","payloadNAME"
"2015-02-06 - RIG EK FROM 46.182.30.163 PUSHING KRONOS","Kronos"
"2015-03-01 - MAGNITUDE EK - 188.138.68.68 - EFD6D9.02.3F.9874379.73336DA.A6800E.7B.XRDIP554S7QW.MATTERHANDLES.IN","CryptoWall 3.0"
"2015-03-01 - MAGNITUDE EK - 188.138.68.68 - EFD6D9.02.3F.9874379.73336DA.A6800E.7B.XRDIP554S7QW.MATTERHANDLES.IN","Simda"
"2015-03-01 - MAGNITUDE EK - 188.138.68.68 - EFD6D9.02.3F.9874379.73336DA.A6800E.7B.XRDIP554S7QW.MATTERHANDLES.IN","Zbot"
"2015-03-01 - MAGNITUDE EK - 188.138.68.68 - EFD6D9.02.3F.9874379.73336DA.A6800E.7B.XRDIP554S7QW.MATTERHANDLES.IN","Redyms"
"2015-03-16 - EXAMPLES OF NUCLEAR EK PUSHING KELIHOS","Kelihos"
"2015-03-30 - FIESTA EK FROM 205.234.186.113 PUSHES SIMDA MALWARE","Simda"
"2015-04-03 - NUCLEAR EK DROPS TESLACRYPT MALWARE","TeslaCrypt 2.0"
"2015-04-09 - NUCLEAR EK DELIVERS TROLDESH RANSOMWARE","Troldesh"
"2015-04-30 - ANGLER EK DELIVERS ALPHA CRYPT RANSOMWARE","Alpha Crypt"
"2015-05-06 - ANGLER EK FROM 94.242.255.59 DELIVERS ALPHA CRYPT RANSOMWARE","Alpha Crypt"
"2015-05-14 - ANGLER EK FROM 178.63.174.153 - SENDS BEDEP & NECURS","Bedep"
"2015-05-14 - ANGLER EK FROM 178.63.174.153 - SENDS BEDEP & NECURS","Necurs"
"2015-05-14 - NUCLEAR EK FROM 109.234.37.12 - SENDS NECURS","Necurs"
"2015-05-18 - ANGLER EK SENDS BEDEP","Bedep"
"2015-05-25 - ANGLER EK DELIVERS RANSOMWARE","TeslaCrypt 2.0"
"2015-05-26 - ANGLER EK SENDS BEDEP, HOST INFECTED WITH CRYPTOWALL 3.0","Bedep"
"2015-06-01 - ANGLER EK FROM 94.242.198.222 SENDS BEDEP AND NECURS","Bedep"
"2015-06-01 - ANGLER EK FROM 94.242.198.222 SENDS BEDEP AND NECURS","Necurs"
"2015-06-05 - ANGLER EK FROM 209.133.200.228 SENDS BEDEP AND NECURS","Bedep"
"2015-06-05 - ANGLER EK FROM 209.133.200.228 SENDS BEDEP AND NECURS","Necurs"
"2015-06-08 - ANGLER EK - MORE CHANGES IN TRAFFIC PATTERNS","Vawtrak"
"2015-06-09 - ANGLER EK - STILL ON A ""CRYPTOWALL RAMPAGE""","CryptoWall 3.0"
"2015-06-12 - ANGLER EK SENDS CRYPTOWALL 3.0 (AGAIN)","CryptoWall 3.0"
"2015-06-15 - ANGLER EK FROM 46.4.235.3 SENDS BEDEP","Bedep"
"2015-06-16 - ANGLER EK FROM 46.4.235.1 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-06-17 - ANGLER EK FROM 213.133.111.21 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-07-03 - ANGLER EK SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-07-05 - ANGLER EK FROM 5.196.183.76 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-07-06 - ANGLER EK FROM 74.63.217.220 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-07-07 - ANGLER EK TRAFFIC - 2 EXAMPLES","CryptoWall 3.0"
"2015-07-07 - ANGLER EK TRAFFIC - 2 EXAMPLES","Bedep"
