"intelSourceNAME","intelNAME"
"Dynamoo's Blog","""Unpaid invoice notification"" spam leads to Angler Exploit Kit"
"Malware-Traffic-Analysis.net","2013-11-23 - CAPHAW DRIVEBY LEADS TO STYX EPLOIT"
"Malware-Traffic-Analysis.net","2013-11-29 - FIESTA EXPLOIT KIT"
"Malware-Traffic-Analysis.net","2013-12-27 - STYX EXPLOIT DELIVERS SIMDA MALWARE"
"Malware-Traffic-Analysis.net","2014-01-01 - FIESTA EK DELIVERS CVE-2013-2551"
"Malware-Traffic-Analysis.net","2014-01-09 - DOTKACHEF EXPLOIT KIT"
"Malware-Traffic-Analysis.net","2014-01-14 - MAGNITUDE EK"
"Malware-Traffic-Analysis.net","2014-01-24 - NUCLEAR PACK EXPLOIT KIT"
"Malware-Traffic-Analysis.net","2014-01-26 - SWEET ORANGE EK DELIVERS MSIE EXPLOIT"
"Malware-Traffic-Analysis.net","2014-02-01 - FIESTA EK DELIVERS CVE-2013-0074 (SILVERLIGHT EXPLOIT)"
"Malware-Traffic-Analysis.net","2014-02-03 PART 1 OF 4 - GOON EK - JAVA EXPLOIT DELIVERS ASPROX-STYLE MALWARE"
"Malware-Traffic-Analysis.net","2014-02-23 - NEUTRINO EK AND SILVERLIGHT EXPLOIT"
"Malware-Traffic-Analysis.net","2014-02-28 - FIESTA EK - CVE-2013-2465 JAVA EXPLOIT"
"Malware-Traffic-Analysis.net","2014-03-04 - HELLO EXPLOIT KIT"
"Malware-Traffic-Analysis.net","2014-03-17 - ZUPONCIC EK"
"Malware-Traffic-Analysis.net","2014-03-19 - GOON/INFINITY EK SENDS FLASH FOR IE 10 EXPLOIT CVE-2014-0322"
"Malware-Traffic-Analysis.net","2014-03-23 - GOON/INFINITY EK USING FLASH FOR IE 10 EXPLOIT CVE-2014-0322"
"Malware-Traffic-Analysis.net","2014-03-23 - OLD EXPLOIT, NEW HASH FOR THE MALWARE PAYLOAD"
"Malware-Traffic-Analysis.net","2014-03-25 - MAGNITUDE EK USES IE EXPLOIT CVE-2013-2551"
"Malware-Traffic-Analysis.net","2014-03-29 - FLASHPACK EK USES CVE-2014-0322 AND JAVA EXPLOIT"
"Malware-Traffic-Analysis.net","2014-04-07 - NUCLEAR EK FROM 142.4.194.72 - DYSTERIEW.RU"
"Malware-Traffic-Analysis.net","2014-04-11 - FIESTA EK FROM 64.202.123.50 - 11IMAW1.DIMATUR.PT - FLASH/SILVERLIGHT/JAVA EXPLOITS"
"Malware-Traffic-Analysis.net","2014-04-15 - FUN WITH GOON/INFINITY EK"
"Malware-Traffic-Analysis.net","2014-04-20 - SWEET ORANGE EK FROM 195.16.88.159 PORT 9290 - FLASH AND JAVA EXPLOITS"
"Malware-Traffic-Analysis.net","2014-05-19 - FLASHPACK EK FROM 95.154.246.90 - LEY9NBU9C4C5R3OIE3819IT.NS1.BAYANDOVMECI.COM"
"Malware-Traffic-Analysis.net","2014-06-06 - CVE-2014-0515 EXPLOIT FROM FLASHPACK EK - 176.9.117.170 - SPCIOLV24HKA0E790VWIZGM.ADDIRECTORY.ORG"
"Malware-Traffic-Analysis.net","2014-06-10 - FLASHPACK EK FROM 192.71.151.14 - 3JF9S456U0RQV91RNO5PMFM.APTEKA-EREKCJA.PL"
"Malware-Traffic-Analysis.net","2014-06-12 - CVE-2014-0515 EXPLOIT FROM SWEET ORANGE EK - 82.118.17.172 PORT 16122 - IMG.BLUEPRINT-LEGAL.COM:16122"
"Malware-Traffic-Analysis.net","2014-06-19 - NUCLEAR EK FROM 5.135.28.118 - 2624633428-6.DISBARMENTSCORE.CO7.US"
"Malware-Traffic-Analysis.net","2014-06-25 - NUCLEAR EK FROM 185.14.31.37 - 4607C15APBMYK.WEALEH.UNI.ME - 2453099568-6.WEALEH.UNI.ME"
"Malware-Traffic-Analysis.net","2014-07-24 - SWEET ORANGE EK FROM 94.185.82.194 port 16122 - CDN.ABISTRA.CO - CDN.GEORGICAPARTNERS.COM"
"Malware-Traffic-Analysis.net","2014-07-26 - RIG EK FROM 194.58.101.51 - WELCOME.SHIRAZTSHIRTS.COM"
"Malware-Traffic-Analysis.net","2014-08-22 - UNKNOWN EXPLOIT KIT FROM 76.74.157.161 - WWW.PIZZANETP.COM"
"Malware-Traffic-Analysis.net","2014-09-01 - RIG EK FROM 5.231.72.115 - NUAYSUQ.PLANEIMPRESSIONS.COM"
"Malware-Traffic-Analysis.net","2015-01-02 - FAKE TARGET PHISHING EMAILS FROM THE ASPROX BOTNET"
"Malware-Traffic-Analysis.net","2015-01-03 - KAIXIN EK FROM 119.147.137.128 - AS2.22WDASDA.CC"
"Malware-Traffic-Analysis.net","2015-01-07 - RECENT DRIDEX PHISHING CAMPAIGN"
"Malware-Traffic-Analysis.net","2015-01-13 - DYRE PHISHING RUN - SUBJECT: YOUR TAX RETURN WAS INCORRECTLY FILLED OUT"
"Malware-Traffic-Analysis.net","2015-01-21 - UPATRE/DYRE PHISHING RUN - SUBJECT: EMPLOYEE DOCUMENTS - INTERNAL USE"
